State,Month,Tested,Confirmed,Deceased,latitude,longitude,population,Status,AQIUS,PM25,PM10,Temp,Humid
JHARKHAND,2021-08,387484068,10774863,159059,23.80039349,86.41998572,10000000,POOR,126,45,129,29,36
JHARKHAND,2021-06,277247764,10299055,152437,23.80039349,86.41998572,10000000,POOR,126,45,129,29,36
JHARKHAND,2020-03,0,1,0,23.80039349,86.41998572,10000000,POOR,126,45,129,29,36
JHARKHAND,2020-04,103157,1123,49,23.80039349,86.41998572,10000000,POOR,126,45,129,29,36
JHARKHAND,2020-11,113496489,3180946,27794,23.80039349,86.41998572,10000000,POOR,126,45,129,29,36
JHARKHAND,2020-06,3245393,51271,281,23.80039349,86.41998572,10000000,POOR,126,45,129,29,36
JHARKHAND,2020-09,46470188,1940389,17137,23.80039349,86.41998572,10000000,POOR,126,45,129,29,36
JHARKHAND,2021-09,424251222,10442534,153993,23.80039349,86.41998572,10000000,POOR,126,45,129,29,36
JHARKHAND,2020-05,1044511,8238,104,23.80039349,86.41998572,10000000,POOR,126,45,129,29,36
JHARKHAND,2020-10,86894260,2934001,25324,23.80039349,86.41998572,10000000,POOR,126,45,129,29,36
JHARKHAND,2021-10,476433063,10802467,159196,23.80039349,86.41998572,10000000,POOR,126,45,129,29,36
JHARKHAND,2020-08,15360160,757036,7790,23.80039349,86.41998572,10000000,POOR,126,45,129,29,36
JHARKHAND,2021-02,150297540,3341511,30299,23.80039349,86.41998572,10000000,POOR,126,45,129,29,36
JHARKHAND,2020-07,6440321,169679,1518,23.80039349,86.41998572,10000000,POOR,126,45,129,29,36
JHARKHAND,2021-03,176960753,3756147,33999,23.80039349,86.41998572,10000000,POOR,126,45,129,29,36
KARNATAKA,2021-09,1372319673,88930190,1126899,12.57038129,76.91999711,10000000,MODERATE,93,37,68,25,74
KARNATAKA,2021-08,1273386930,90817997,1146610,12.57038129,76.91999711,10000000,MODERATE,93,37,68,25,74
KARNATAKA,2020-08,64242707,7107882,123589,12.57038129,76.91999711,10000000,MODERATE,93,37,68,25,74
KARNATAKA,2021-01,489092019,28853643,377052,12.57038129,76.91999711,10000000,MODERATE,93,37,68,25,74
